Name,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses
blackscholes,simlarge,964182284.9333333,2.158,16989402.6,15.662866666666668,108460940.86666666,9733166221.666666,6443531738.266666,0.662,4162.194666666666,138634.53333333333,2617347171.8,37522223.733333334,16165599.333333334
blackscholes,simmedium,527919306.3333333,3.1086666666666667,15842566.4,19.285466666666665,82141646.4,5739558406.4,2970523355.3333335,0.5166666666666667,2462.8806666666665,137586.86666666667,1360069751.4666667,35497490.6,15254573.8
blackscholes,simsmall,419548405.0,3.6786666666666665,15791135.4,20.282866666666667,77830246.33333333,4821612451.2,2111705666.6,0.43866666666666665,2074.144,137307.26666666666,1053408440.3333334,35245756.46666667,15249988.066666666
bodytrack,simlarge,1656486226.8,1.826,21471219.266666666,9.275,231491476.86666667,16906338737.933332,14783841771.866667,0.874,7219.955333333333,146251.26666666666,4589000739.533334,47640423.333333336,21007905.8
bodytrack,simmedium,754709513.0666667,2.546666666666667,18050303.0,14.972133333333334,120532573.46666667,8161400276.133333,5560045115.066667,0.6826666666666666,3501.2006666666666,141846.0,2056888904.8666666,39322780.0,17524469.4
bodytrack,simsmall,515401207.4,3.1533333333333333,17024252.666666668,18.776,90671217.2,5803417038.466666,3019001451.133333,0.5206666666666667,2494.9126666666666,139965.33333333334,1331443005.0666666,37043176.86666667,16540712.0
canneal,simlarge,2266387557.2,4.7780000000000005,130422659.26666667,26.858,485636962.8666667,48102294253.8,10462625321.066668,0.21733333333333332,20469.224,391204.13333333336,5408151552.8,104128571.4,120422428.4
canneal,simmedium,1279616779.5333333,4.669333333333333,65434592.666666664,25.13426666666667,260343064.26666668,23762493708.666668,5907544331.066667,0.24799999999999997,10122.764666666666,204843.33333333334,3064632581.6666665,68099588.66666667,62128897.733333334
canneal,simsmall,801042083.2666667,4.439333333333334,35283583.13333333,22.607000000000003,156087534.6,12311079269.933332,3668837782.6,0.2986666666666667,5257.149333333334,152650.8,1880088272.0666666,49980151.6,34117249.53333333
facesim,simlarge,2628510117.0666666,3.296,54749966.46666667,10.547066666666668,518962770.6,32310007574.666668,30407651869.0,0.9433333333333334,13784.516666666666,255822.46666666667,13912878414.666666,113468899.46666667,53330066.666666664
