,Name,Size,Thread,Time
0,blackscholes,simsmall,1,0.144
1,blackscholes,simmedium,1,0.555
2,blackscholes,simlarge,1,2.318
3,blackscholes,simsmall,2,0.085
4,blackscholes,simmedium,2,0.311
5,blackscholes,simlarge,2,1.36
6,blackscholes,simsmall,4,0.056
7,blackscholes,simmedium,4,0.214
8,blackscholes,simlarge,4,0.798
9,blackscholes,simsmall,8,0.042
10,blackscholes,simmedium,8,0.153
11,blackscholes,simlarge,8,0.598
12,blackscholes,simsmall,12,0.044
13,blackscholes,simmedium,12,0.14
14,blackscholes,simlarge,12,0.477
15,blackscholes,simsmall,16,0.043
16,blackscholes,simmedium,16,0.131
17,blackscholes,simlarge,16,0.476
18,blackscholes,simsmall,20,0.039
19,blackscholes,simmedium,20,0.133
20,blackscholes,simlarge,20,0.46
21,blackscholes,simsmall,24,0.038
22,blackscholes,simmedium,24,0.122
23,blackscholes,simlarge,24,0.438
24,blackscholes,simsmall,28,0.044
25,blackscholes,simmedium,28,0.108
26,blackscholes,simlarge,28,0.424
27,blackscholes,simsmall,32,0.036
28,blackscholes,simmedium,32,0.111
29,blackscholes,simlarge,32,0.423
30,blackscholes,simsmall,1,0.144
31,blackscholes,simmedium,1,0.562
32,blackscholes,simlarge,1,2.211
33,blackscholes,simsmall,2,0.087
34,blackscholes,simmedium,2,0.343
35,blackscholes,simlarge,2,1.263
36,blackscholes,simsmall,4,0.063
37,blackscholes,simmedium,4,0.198
38,blackscholes,simlarge,4,0.874
39,blackscholes,simsmall,8,0.044
40,blackscholes,simmedium,8,0.157
41,blackscholes,simlarge,8,0.594
42,blackscholes,simsmall,12,0.044
43,blackscholes,simmedium,12,0.131
44,blackscholes,simlarge,12,0.511
45,blackscholes,simsmall,16,0.05
46,blackscholes,simmedium,16,0.134
47,blackscholes,simlarge,16,0.483
48,blackscholes,simsmall,20,0.039
49,blackscholes,simmedium,20,0.144
50,blackscholes,simlarge,20,0.463
51,blackscholes,simsmall,24,0.04
52,blackscholes,simmedium,24,0.118
53,blackscholes,simlarge,24,0.437
54,blackscholes,simsmall,28,0.045
55,blackscholes,simmedium,28,0.117
56,blackscholes,simlarge,28,0.436
57,blackscholes,simsmall,32,0.038
58,blackscholes,simmedium,32,0.116
59,blackscholes,simlarge,32,0.431
60,blackscholes,simsmall,1,0.174
61,blackscholes,simmedium,1,0.565
62,blackscholes,simlarge,1,2.24
63,blackscholes,simsmall,2,0.09
64,blackscholes,simmedium,2,0.34
65,blackscholes,simlarge,2,1.272
66,blackscholes,simsmall,4,0.055
67,blackscholes,simmedium,4,0.199
68,blackscholes,simlarge,4,0.787
69,blackscholes,simsmall,8,0.045
70,blackscholes,simmedium,8,0.173
71,blackscholes,simlarge,8,0.614
72,blackscholes,simsmall,12,0.044
73,blackscholes,simmedium,12,0.132
74,blackscholes,simlarge,12,0.5
75,blackscholes,simsmall,16,0.04
76,blackscholes,simmedium,16,0.124
77,blackscholes,simlarge,16,0.473
78,blackscholes,simsmall,20,0.038
79,blackscholes,simmedium,20,0.13
80,blackscholes,simlarge,20,0.456
81,blackscholes,simsmall,24,0.038
82,blackscholes,simmedium,24,0.119
83,blackscholes,simlarge,24,0.461
84,blackscholes,simsmall,28,0.039
85,blackscholes,simmedium,28,0.118
86,blackscholes,simlarge,28,0.433
87,blackscholes,simsmall,32,0.037
88,blackscholes,simmedium,32,0.119
89,blackscholes,simlarge,32,0.43
90,blackscholes,simsmall,1,0.207
91,blackscholes,simmedium,1,0.569
92,blackscholes,simlarge,1,2.247
93,blackscholes,simsmall,2,0.084
94,blackscholes,simmedium,2,0.308
95,blackscholes,simlarge,2,1.276
96,blackscholes,simsmall,4,0.057
97,blackscholes,simmedium,4,0.234
98,blackscholes,simlarge,4,0.868
99,blackscholes,simsmall,8,0.069
100,blackscholes,simmedium,8,0.158
101,blackscholes,simlarge,8,0.556
102,blackscholes,simsmall,12,0.037
103,blackscholes,simmedium,12,0.147
104,blackscholes,simlarge,12,0.488
105,blackscholes,simsmall,16,0.039
106,blackscholes,simmedium,16,0.14
107,blackscholes,simlarge,16,0.487
108,blackscholes,simsmall,20,0.038
109,blackscholes,simmedium,20,0.14
110,blackscholes,simlarge,20,0.473
111,blackscholes,simsmall,24,0.047
112,blackscholes,simmedium,24,0.121
113,blackscholes,simlarge,24,0.438
114,blackscholes,simsmall,28,0.038
115,blackscholes,simmedium,28,0.114
116,blackscholes,simlarge,28,0.469
117,blackscholes,simsmall,32,0.037
118,blackscholes,simmedium,32,0.115
119,blackscholes,simlarge,32,0.42
120,blackscholes,simsmall,1,0.141
121,blackscholes,simmedium,1,0.547
122,blackscholes,simlarge,1,2.198
123,blackscholes,simsmall,2,0.1
124,blackscholes,simmedium,2,0.321
125,blackscholes,simlarge,2,1.255
126,blackscholes,simsmall,4,0.076
127,blackscholes,simmedium,4,0.211
128,blackscholes,simlarge,4,0.786
129,blackscholes,simsmall,8,0.043
130,blackscholes,simmedium,8,0.167
131,blackscholes,simlarge,8,0.551
132,blackscholes,simsmall,12,0.036
133,blackscholes,simmedium,12,0.144
134,blackscholes,simlarge,12,0.516
135,blackscholes,simsmall,16,0.038
136,blackscholes,simmedium,16,0.128
137,blackscholes,simlarge,16,0.479
138,blackscholes,simsmall,20,0.046
139,blackscholes,simmedium,20,0.137
140,blackscholes,simlarge,20,0.47
141,blackscholes,simsmall,24,0.037
142,blackscholes,simmedium,24,0.12
143,blackscholes,simlarge,24,0.432
144,blackscholes,simsmall,28,0.038
145,blackscholes,simmedium,28,0.115
146,blackscholes,simlarge,28,0.396
147,blackscholes,simsmall,32,0.037
148,blackscholes,simmedium,32,0.115
149,blackscholes,simlarge,32,0.413
150,blackscholes,simsmall,1,0.142
151,blackscholes,simmedium,1,0.559
152,blackscholes,simlarge,1,2.242
153,blackscholes,simsmall,2,0.088
154,blackscholes,simmedium,2,0.326
155,blackscholes,simlarge,2,1.289
156,blackscholes,simsmall,4,0.08
157,blackscholes,simmedium,4,0.235
158,blackscholes,simlarge,4,0.83
159,blackscholes,simsmall,8,0.046
160,blackscholes,simmedium,8,0.151
161,blackscholes,simlarge,8,0.608
162,blackscholes,simsmall,12,0.036
163,blackscholes,simmedium,12,0.139
164,blackscholes,simlarge,12,0.518
165,blackscholes,simsmall,16,0.039
166,blackscholes,simmedium,16,0.132
167,blackscholes,simlarge,16,0.506
168,blackscholes,simsmall,20,0.038
169,blackscholes,simmedium,20,0.123
170,blackscholes,simlarge,20,0.468
171,blackscholes,simsmall,24,0.043
172,blackscholes,simmedium,24,0.129
173,blackscholes,simlarge,24,0.425
174,blackscholes,simsmall,28,0.039
175,blackscholes,simmedium,28,0.125
176,blackscholes,simlarge,28,0.447
177,blackscholes,simsmall,32,0.038
178,blackscholes,simmedium,32,0.12
179,blackscholes,simlarge,32,0.417
180,blackscholes,simsmall,1,0.146
181,blackscholes,simmedium,1,0.561
182,blackscholes,simlarge,1,2.248
183,blackscholes,simsmall,2,0.1
184,blackscholes,simmedium,2,0.339
185,blackscholes,simlarge,2,1.242
186,blackscholes,simsmall,4,0.064
187,blackscholes,simmedium,4,0.214
188,blackscholes,simlarge,4,0.811
189,blackscholes,simsmall,8,0.041
190,blackscholes,simmedium,8,0.164
191,blackscholes,simlarge,8,0.558
192,blackscholes,simsmall,12,0.038
193,blackscholes,simmedium,12,0.145
194,blackscholes,simlarge,12,0.48
195,blackscholes,simsmall,16,0.046
196,blackscholes,simmedium,16,0.13
197,blackscholes,simlarge,16,0.496
198,blackscholes,simsmall,20,0.041
199,blackscholes,simmedium,20,0.124
200,blackscholes,simlarge,20,0.441
201,blackscholes,simsmall,24,0.039
202,blackscholes,simmedium,24,0.114
203,blackscholes,simlarge,24,0.449
204,blackscholes,simsmall,28,0.037
205,blackscholes,simmedium,28,0.115
206,blackscholes,simlarge,28,0.452
207,blackscholes,simsmall,32,0.046
208,blackscholes,simmedium,32,0.123
209,blackscholes,simlarge,32,0.438
210,blackscholes,simsmall,1,0.145
211,blackscholes,simmedium,1,0.573
212,blackscholes,simlarge,1,2.267
213,blackscholes,simsmall,2,0.089
214,blackscholes,simmedium,2,0.35
215,blackscholes,simlarge,2,1.238
216,blackscholes,simsmall,4,0.062
217,blackscholes,simmedium,4,0.208
218,blackscholes,simlarge,4,0.766
