Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
streamcluster,1,simsmall,477321653,3.5,8535063,7.916,107817541,5090221473,2903576945,0.57,2209.81,136398,1349583157,41950659,8188583,0.795,1
streamcluster,2,simsmall,595362996,3.07,8560020,7.744,110535200,6151555862,3390305006,0.55,2677.92,136319,1578688415,49386178,8915359,2.121,0.374823197
streamcluster,4,simsmall,4162666327,0.58,10471647,7.032,148921875,26470151351,19462304148,0.74,11481.64,137099,8875552150,65896687,10338615,5.417,0.146760199
streamcluster,8,simsmall,10867344572,0.36,13102406,5.824,224974098,66196319013,49393791886,0.75,28866.65,136986,22415052319,103758749,12178243,12.121,0.065588648
streamcluster,1,simmedium,654730993,2.74,21490776,12.549,171250825,9306939461,6162394418,0.66,4019.94,137426,2923685478,42699718,20639802,2.844,1
streamcluster,2,simmedium,1848831372,1.19,27341401,14.031,194869470,15956871943,11532407247,0.72,6883.24,137997,5436008122,58588190,26801583,2.897,0.981705212
streamcluster,4,simmedium,5226195319,0.58,26617366,11.214,237355896,37036972660,26558049957,0.72,16056.19,138462,12305704853,84081486,25954371,7.693,0.369686728
streamcluster,8,simmedium,12430884798,0.38,29363480,8.932,328749343,79356406285,59054457768,0.74,34561.97,138769,26911768387,136739035,28732644,14.495,0.196205588
streamcluster,1,simlarge,1179592407,1.8,82919325,18.171,456339689,31003479153,20995787199,0.68,13299.09,145086,10162230805,47584871,81817592,12.309,1
streamcluster,2,simlarge,1863548375,1.37,89245848,18.357,486174045,41140226915,24172866437,0.59,17736,145055,11551445178,62263078,88348335,9.893,1.24421308
streamcluster,4,simlarge,6641600495,0.5,91912702,17.667,520254173,65115014855,45686889837,0.7,28231.55,145047,21434461063,77805320,92730980,17.689,0.695856182
streamcluster,8,simlarge,15675876700,0.33,98322816,15.52,633516625,1.18034E+11,86439147339,0.73,51095.37,151747,39584440243,136722643,96625747,23.303,0.528215251
blackscholes,1,simsmall,352301289,4.6,8028309,9.27,86601346,4059355102,1718828118,0.42,1753.69,135731,881792907,42928673,7767489,0.01,1
blackscholes,2,simsmall,374118820,4.41,9056682,10.437,86772651,4561564434,1746050345,0.38,1979.64,135557,907069135,46443024,8939750,0.011,0.909090909
blackscholes,4,simsmall,376611631,4.64,9722988,10.239,94957343,4378821741,1824844624,0.42,1910.14,135750,950515349,50421838,9536654,0.01,1
blackscholes,8,simsmall,369179449,4.49,9110480,10.111,90102138,4247839798,1863311254,0.44,1859.24,135655,955345689,43878078,8721484,0.01,1
blackscholes,1,simmedium,373272816,4.21,8163870,9.604,85007175,4051249295,1777987034,0.44,1766.4,136028,911789695,41187238,7730753,0.018,1
blackscholes,2,simmedium,438256517,3.87,8579550,9.329,91968461,4323455488,1890828388,0.44,1908.32,135773,991499396,47298952,8557108,0.006,3
blackscholes,4,simmedium,379268983,4.71,10210086,10.573,96567587,4566471025,1771610395,0.39,2000.38,136023,939959104,51720533,9952100,0.009,2
blackscholes,8,simmedium,380905120,4.16,7566814,8.768,86298912,4205311618,1780097524,0.42,1812.71,135748,920389938,42911555,7645256,0.015,1.2
blackscholes,1,simlarge,387238624,4.23,8620018,9.474,90985973,4321675747,1804253032,0.42,1886.04,135736,928450715,43827636,8136740,0.02,1
blackscholes,2,simlarge,375835091,4.22,7147779,8.435,84737513,3899112793,1725486031,0.44,1685.75,135690,905941828,40822395,6863970,0.034,0.588235294
blackscholes,4,simlarge,382895188,4.44,9396407,10.021,93767116,4205413748,1785499106,0.42,1858.77,135783,927096575,48894572,9207575,0.004,5
blackscholes,8,simlarge,392182122,4.29,8834742,9.475,93241810,4458447344,1743871567,0.39,1949.99,136016,914391864,46372241,8241139,0.01,2
bodytrack,1,simsmall,370274421,4.29,8869142,10.512,84371570,4217019081,1807989034,0.43,1835.42,136354,933180358,41785774,8535395,0.326,1
bodytrack,2,simsmall,383059624,4.41,9105306,10.05,90604126,4295263559,1834232185,0.43,1885.54,136273,942784229,46867324,8677316,0.102,3.196078431
bodytrack,4,simsmall,382363924,4.52,9677210,10.637,90980193,4552915035,1845390320,0.41,1981.4,136298,950693368,49064047,9565485,0.027,12.07407407
bodytrack,8,simsmall,387588476,4.64,10107677,10.394,97247906,4823711575,1844926259,0.38,2138.11,136164,968274706,52391120,9525888,0.836,0.389952153
bodytrack,1,simmedium,386825742,4.41,8656738,9.481,91308852,4155106375,1767185708,0.43,1827.46,136392,922150936,45694689,8102758,0.019,1
bodytrack,2,simmedium,385155269,4.02,7920298,9.509,83292489,4214787734,1837311258,0.44,1829.21,136382,958658753,39669439,7360473,0.026,0.730769231
bodytrack,4,simmedium,376988763,4.31,8759967,9.894,88541712,4093946077,1767027314,0.43,1778.66,136511,914836663,42597488,8247939,0.071,0.267605634
bodytrack,8,simmedium,372833854,4.54,9795648,10.601,92404950,4214241937,1834516235,0.44,1829.51,136335,937646375,47702405,9281321,0.035,0.542857143
