,Name,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses
0,blackscholes,simsmall,415947913.0,3.71,15277379.0,19.787,77210614.0,4714281682.0,2099716960.0,0.45,2027.21,137205.0,1035270285.0,34990062.0,14476811.0
1,blackscholes,simmedium,522198364.0,3.12,16658065.0,20.556,81036578.0,5870528964.0,2958723235.0,0.5,2520.15,137788.0,1362776470.0,35631113.0,16121216.0
2,blackscholes,simlarge,960224665.0,2.15,16812524.0,15.507,108417101.0,9686684567.0,6428071585.0,0.66,4140.36,138532.0,2625208191.0,37692352.0,15817449.0
3,blackscholes,simsmall,420291130.0,3.64,14727706.0,18.955,77698704.0,4531757864.0,2114131262.0,0.47,1954.27,136953.0,1042349442.0,33686335.0,14645448.0
4,blackscholes,simmedium,530820408.0,3.09,16516808.0,20.161,81923469.0,5675693993.0,3029148074.0,0.53,2439.52,137443.0,1385809742.0,35204365.0,16185720.0
5,blackscholes,simlarge,965878755.0,2.17,14880456.0,13.817,107699645.0,9856565811.0,6407039289.0,0.65,4213.27,138403.0,2606415589.0,37716624.0,14443145.0
6,blackscholes,simsmall,425026326.0,3.63,13086885.0,16.891,77479884.0,4471970869.0,2071123219.0,0.46,1925.49,137314.0,1041276414.0,34101864.0,11613256.0
7,blackscholes,simmedium,508880678.0,3.23,17184221.0,21.006,81807767.0,5671867222.0,3010276706.0,0.53,2430.9,137544.0,1375683599.0,36787180.0,16336253.0
8,blackscholes,simlarge,940051164.0,2.2,15905477.0,14.776,107643719.0,9362160566.0,6384650124.0,0.68,4004.03,138682.0,2591515288.0,36824870.0,14822573.0
9,blackscholes,simsmall,421061407.0,3.63,16427397.0,21.001,78221928.0,5122364372.0,2125352020.0,0.41,2203.03,137793.0,1047351376.0,37343821.0,16487464.0
10,blackscholes,simmedium,531723629.0,3.2,15701507.0,18.676,84073664.0,5573703957.0,3008180483.0,0.54,2390.07,137653.0,1365275900.0,35295067.0,15055612.0
11,blackscholes,simlarge,970272877.0,2.12,18139832.0,16.71,108559436.0,9701815616.0,6452410163.0,0.67,4148.17,138438.0,2624286136.0,38030302.0,16778492.0
12,blackscholes,simsmall,405765041.0,3.76,16151696.0,20.511,78748041.0,4548984160.0,2045514894.0,0.45,1958.58,137435.0,1027789073.0,34337903.0,15912921.0
13,blackscholes,simmedium,530984746.0,3.07,15967562.0,18.992,84074679.0,5531674693.0,2932577274.0,0.53,2373.36,137215.0,1336524517.0,34658497.0,15039576.0
14,blackscholes,simlarge,962411470.0,2.17,17470476.0,16.062,108768607.0,9525370102.0,6436079004.0,0.68,4060.83,138834.0,2591513117.0,36495014.0,16729653.0
15,blackscholes,simsmall,428645064.0,3.54,17315211.0,22.057,78501322.0,4581701369.0,2116297071.0,0.46,1973.29,137281.0,1063756186.0,33261333.0,15612377.0
16,blackscholes,simmedium,519104772.0,3.1,15233622.0,18.452,82556391.0,5772948100.0,2933699390.0,0.51,2472.19,137479.0,1339213024.0,34897696.0,14905947.0
17,blackscholes,simlarge,974603944.0,2.15,17490175.0,16.033,109086121.0,9819061659.0,6440361883.0,0.66,4202.42,138771.0,2626198153.0,37727442.0,15872328.0
18,blackscholes,simsmall,414488251.0,3.72,17399929.0,21.932,79336306.0,4751539432.0,2114069676.0,0.44,2044.79,136998.0,1058258840.0,35680491.0,16469078.0
19,blackscholes,simmedium,521235054.0,3.09,13344096.0,16.647,80158536.0,5475761514.0,2927422589.0,0.53,2346.58,137740.0,1352987796.0,35039935.0,12703870.0
20,blackscholes,simlarge,960764216.0,2.14,17504392.0,16.024,109239443.0,9710619130.0,6441472080.0,0.66,4148.32,138380.0,2607356634.0,37163294.0,16957041.0
21,blackscholes,simsmall,415573765.0,3.78,15412701.0,19.682,78309490.0,4880678791.0,2055401903.0,0.42,2100.44,137528.0,1030948277.0,36281737.0,14908280.0
22,blackscholes,simmedium,529628796.0,3.12,13123243.0,16.056,81732787.0,5540045315.0,2950702445.0,0.53,2379.02,137650.0,1346144918.0,35003580.0,12730165.0
